From the Tournament-Database of Chess-Results http://chess-results.com;;;;;;;;;;;;;;;;;;
Moscow Open 2018_A ;;;;;;;;;;;;;;;;;;
Rk.;;Name;Rtg;FED;1.Rd;2.Rd;3.Rd;4.Rd;5.Rd;6.Rd;7.Rd;8.Rd;9.Rd;Pts. ;TB1;TB2;TB3;TB4
92;IM;Belyakov Bogdan ;2486;RUS;137b1;144w1;  4b½; 26w½; 62b½;108w½; 40b½; 29w0; 50b0;4,5;49;45;0;22,75
93;FM;Bykov Egor ;2346;RUS;171b1; 51w½;116b1; 36w½;106b1; 14w0; 34b0; 30w0;112b½;4,5;47;43,5;0;20,5
94;FM;Erdenepurev Boldoo ;2328;MGL;165w1; 52b½; 68w1; 15b0; 35w0;167b1;107w1; 16b0; 56w0;4,5;46,5;43;0;19,25
95;FM;Smirnov Timofey ;2324;RUS;204b1; 11w0;105b1; 80w½; 51b½; 71w½; 28b½; 48w½; 46b0;4,5;46;43,5;0;20,5
96;;Hakobyan Hovhannes H. ;2270;ARM; 23w½; 44b0;121w1;207b1;200w+; 36w0; 69b1; 15b0; 53w0;4,5;45,5;43;0;17,25
97;FM;Rodchenkov Vitaly ;2304;RUS; 10w½; 23b0;145w½;176b½;140w1;165b1; 16w0;107b1; 52w0;4,5;44;41;0;19,25
98;;Kavyev Ruslan ;2211;RUS; 77w½;200b0;165w1; 39b½; 79w½;102b½;142b1; 54w½; 71b0;4,5;43,5;40;0;20,5
99;;Ganerdene Sugar ;2196;MGL; 55b½; 46w0;220b+; 54b½; 89w1; 42b0; 79w0;119w½;169b1;4,5;43,5;40;0;18
100;;Mukhutdinov Tigran ;2376;RUS;153w1;  1w0;166b1; 74b0;120w½;154b½;131w1; 67b0;113w½;4,5;43;39;0;18,5
101;;Fitiak Sergey ;2247;RUS; 36b0;171w½;190b1; 69w0;175b1; 84w1; 82b1; 40w0; 54b0;4,5;42,5;39,5;0;18,25
102;FM;Uraev Ivan ;2304;RUS;  3b0;118w0;177b1;145w1;185b½; 98w½;105b1; 28w0;106b½;4,5;42,5;39;0;18,5
103;FM;Nazaretyan Tigran ;2285;RUS;  5w0;174b1; 74w0;205b1; 77w½; 37b0;145w1; 56b0;168w1;4,5;42;39,5;0;16
104;FM;Yeritsyan Aram ;2309;RUS;0; 78b½;181w1;141b1; 33w0;174b1; 68w0;114w1; 48b0;4,5;42;38,5;0;20,5
105;;Perov German ;2069;RUS; 90w1; 10b0; 95w0;173b1; 86w1; 40b0;102w0;164w½;156b1;4,5;42;38,5;0;18,75
106;IM;Shinkevich Vitaly ;2454;RUS;139w1;198b½; 45w½; 86b1; 93w0;110b0; 74w½;109b½;102w½;4,5;42;38;0;20,75
107;IM;Usmanov Vasily ;2472;RUS;112b1; 50w0;137b1; 45w½; 82b0;115w1; 94b0; 97w0;164b1;4,5;41,5;38;0;19,25
108;IM;Gorbatov Alexej ;2397;RUS;206w1;117b½;188w1; 23b0; 70w1; 92b½;110w½;0;0;4,5;41;38,5;0;22,75
109;FM;Konaplev Anton ;2276;RUS;  7b0;140w½;189b1;157w1; 76b0;185w½; 55b½;106w½;116b½;4,5;41;38;0;18
110;FM;Murtazin Ruslan ;2342;RUS;219b½;195w1; 80b½; 14w0;129b1;106w1;108b½; 25w0; 55b0;4,5;40,5;40;0;17
111;FM;Tsoi Dmitry ;2371;RUS;196w1; 37b0;139w½;126b½;172w1; 74b½; 38w-;137w1; 51b0;4,5;40,5;37,5;0;19,75
112;FM;Suleymanli Aydin ;2259;AZE;107w0;141b½;146w1; 21b0;192w1; 39b0;187w1; 89b½; 93w½;4,5;40,5;37,5;0;17,25
113;;Kesidis Odyseas ;2244;GRE; 51b0;194w1;144b1; 32w0; 81b½; 65w0;129b½;177w1;100b½;4,5;40;37,5;0;16,75
114;FM;Salman Pavel ;2258;RUS;  8b0;175w1; 84b½; 55w½;128w0;145b½;165w1;104b0;160w1;4,5;40;36,5;0;17,75
115;FM;Rozhkov Viacheslav ;2281;RUS; 21w0;180b1;207w½;192b1; 16w0;107b0;174w1; 53b0;181w1;4,5;38,5;36;0;14,75
116;FM;Savenkov Konstantin ;2426;RUS;188w½;120b1; 93w0;154b½; 67w½; 38b0;148w½;158b1;109w½;4,5;38,5;35,5;0;18,25
117;;Proleiko Julian ;2119;USA; 54w1;108w½;183b0; 70b0;134w0;151b0;209w1;193b1;154w+;4,5;38;35,5;0;15,5
118;WFM;Nurgali Nazerke ;2182;KAZ; 39w0;102b1;123w0;201b½; 87w0;141b½;191w½;194b1;161w1;4,5;37,5;35;0;16
119;IM;Mischuk Dmitry ;2382;UKR;181w1; 57b0;154w½;139b0;166w1;130b0;136w½; 99b½;167w1;4,5;36;32,5;0;17
120;;Skorodelov Semen ;2239;RUS;185b½;116w0;171b½;211w1;100b½;135w0;146b½;121w½;157b1;4,5;35,5;33;0;16,5
121;;Ter-Saakian Grigorii ;2080;RUS;214b½; 76w0; 96b0;169w½;150w1;147b0;188w1;120b½;172w1;4,5;35;32;0;16,25
122;;Barseghyan Armen Ar. ;2292;ARM; 44w½; 77b½;160w1; 16b½; 68w1; 11b0; 39w0; 83b0;143w½;4;46,5;43;0;18,75
123;FM;Babarykin Stanislav ;2328;RUS;168b1; 18w0;118b1;185w1; 36b½; 32w0; 71b½;0;0;4;45,5;42;0;22,75
124;FM;Kretov Evgenij ;2218;RUS;  6w0;179b1; 39w½; 53b1; 34w0; 87b½; 90w0;141b0;187w1;4;45;42;0;17,5
125;;Makoveev Ilya ;2196;RUS; 22w0; 91b1; 89w0; 90b½; 53w½; 86b½;201w+; 69w½; 81b0;4;45;41,5;0;17
126;;Manafov Vugar ;2193;AZE; 28b0; 56b½;182w1;111w½;142b1; 73w1; 37b0; 60w0; 84b0;4;44,5;41;0;17,75
127;FM;Cherenkov Andrey ;2177;RUS; 91w1; 22b0;201w1; 88b1;  6w0; 60b0; 87w0; 86b0;191w1;4;43,5;40,5;0;17
128;FM;Gubajdullin Alexei ;2389;RUS;176b1; 17w0;164b1; 59w0;114b1; 85w1;  5b0; 64w0; 72b0;4;43,5;40,5;0;16
129;;Chibukhchyan Erik ;2121;RUS; 58w½; 40b0;161w1; 47b½;110w0; 89b½;113w½;139b½;134w½;4;42;38,5;0;17,5
130;;Primbetov Kazbek ;2263;KAZ; 30b0;152w1; 48b0;175w½;157b1;119w1; 65b0; 80w½; 69b0;4;42;38,5;0;16,25
131;FM;Garayev Kanan ;2260;AZE; 14b0;138w½;187b1; 51w0;152b1; 81w½;100b0;189w1; 80b0;4;41;38;0;14,75
132;FM;Rozanov Pavel B. ;2245;RUS; 19w0;178b1; 35w0;216b1; 88w½; 90b½; 77w0;143b½;148w½;4;40,5;39;0;14,25
133;WFM;Chernyak Viktoria ;2196;RUS; 16w0;210b1; 90w1;200b½; 58w0; 70b0; 53w0;187b½;196w1;4;40,5;38,5;0;14,5
134;;Tugarin Anton ;2267;RUS; 25b0;187w½;138b0;202w1;117b1; 55w½; 73b½; 51w0;129b½;4;40,5;37,5;0;15,75
135;FM;Zubkov Vsevolod ;2333;RUS;197w1;  9b0;158w0;143b1;167w½;120b1; 61w½; 77b0; 74w0;4;40;37;0;15,75
136;;Guliev Gasan ;2202;RUS; 68w0;217b1; 54w½; 58b0; 91w½; 53b½;119b½;157w½;142b½;4;39;38;0;15
