Uit de toernooibestanden van Chess Results
43rd Olympiad Batumi 2018 Open ;0w0 vervangen door zwz
http://chess-results.com/tnr368908.aspx?lan=17&art=63&flag=30
Rk.;Mannschaft;1.Rd;2.Rd;3.Rd;4.Rd;5.Rd;6.Rd;7.Rd;8.Rd;9.Rd;10.Rd;11.Rd
111;Nepal;23w1;150b2½;85w½;102w2½;113b3½;112w2½;33b1½;43b½;104w3;62b0;81b1
112;Sri Lanka;20b0;177w4;33w1;144b4;159w3½;111b1½;78b2½;38w½;121w3;65b1;79w½
113;Chinese Taipei;7b0;137w4;46b1;138w3½;111w½;132b3;75w1½;164b3½;72w1;149b2½;73w1
114;Palestine;68w0;60w1;178b3;91w2;137b3;73w2;117b1;92b2;130w2;106b1;154w3
115;Oman;24w1;134b1½;163w3;116b1;138w3;128b½;154w3;72b½;147b4;151w2½;75w1
116;South Sudan;82w0;79b2;106w2;115w3;64b½;130b2½;74w1½;94b0;129w2;131b2;151w3½
117;Jamaica;49b0;169w4;50w0;70b1;181b4;142w4;114w3;109b0;94w2;105b2;78w1½
118;Brunei;48b0;179b4;14w½;166w4;143b1½;133w2;100w2;121b1½;137b1;171w3;156b2½
119;Trinidad & Tobago;12b0;174w3½;123b1½;171w4;99b2½;84w1½;151b0;105b2;87w0;157w3½;103b2
120;Honduras;33w0;124b1½;155w2½;125b2½;85b1;127w3;149b1½;73b½;166w3½;104b½;158w4
121;Nicaragua;27b0;176w4;51w½;131b3½;84b½;105w½;134b2½;118w2½;112b1;74w½;149b3
122;ICCD;28w½;157b4;109w1½;96b1½;145w2½;97w2;80b1½;143b4;59w1½;126w2½;101b1½
123;Myanmar;175b4;13b½;119w2½;44b2;89w1;55b3;35w½;148w2½;48b1;58w1;94w1½
124;Angola;5b1;120w2½;71b1½;81w1;156b4;96w2;97b2½;63b0;105w½;167w3;87b1
125;Syria;13w0;166b4;89b1½;120w1½;155w3;136b3;128w2;79w1½;160b4;90b½;98w1
126;Lebanon;40b0;164w4;54b1;128w2½;37b2½;88w2;46b0;85w1½;76w1;122b1½;167b4
127;Malta;34b½;144w3½;103b1½;143w1½;162b2½;120b1;138w3;102b2;98w0;134w1;164b3½
128;Namibia;29w0;130w3½;84b0;126b1½;166w2½;115w3½;125b2;101w1½;83b1;132w1;165b3
129;Kuwait;64w0;133w2;93b1;142w2;182b3½;149w1½;168b3½;108w½;116b2;100w1½;159b4
130;Liberia;38w1;128b½;162w1;178b4;164b3;116w1½;144b3;139w2;114b2;110w0;142w2
131;Liechtenstein;43w½;161b2½;77w0;121w½;97b1½;156w2;177b3½;150w3½;92b1½;116w2;144b2
132;Malawi;63b0;153w3;149w2½;22b0;71b½;113w1;136w2;97b1;141w3½;128b3;93w1½
133;Libya;19w½;129b2;110w1;137b2;144w2½;118b2;93w½;103b½;167b1½;176w3;172b3½
134;Puerto Rico;21b0;115w2½;38w½;104b2½;53b1;95w½;121w1½;173b3;143w2;127b3;88w0
135;Mali;66w½;141b3;75w1;167b1½;179w3;102w0;157b1½;159b2;162w2½;158b2;147b2
136;Jordan;163b4;49w0;172b4;27b0;45w0;125w1;132b2;171w4;157b4;59b½;100w1
137;Haiti;70w0;113b0;174b2½;133w2;114w1;110b2½;83w0;161b3;118w3;73w1;102b1
138;Guyana;53w0;140b1;145w2½;113b½;115b1;181w3½;127b1;168w3;164w2;148b3;83w1
139;Maldives;47b0;154w3½;95b1;172w4;109b0;104w½;140b2½;130b2;99w1½;143b2½;82w0
140;Surinam;52b½;138w3;88w½;150b2½;70w0;58b0;139w1½;174b3;153w2½;102b2;99w½
